category,item,spec,qty,unit_usd,ext_usd,sourcing,cad_model_source
motion,NEMA17 closed-loop stepper motor/driver sets (M0 M1),StepperOnline 1-CL42T-S05-V41; each kit includes 17HS19-2004D-E1K motor + CL42T-V41 driver + programming cable; 52 Ncm holding; 68 mm body; 5x24 mm shaft; 1000 PPR encoder,2,48.86,97.72,StepperOnline exact live kit https://www.omc-stepperonline.com/1-axis-closed-loop-stepper-cnc-kit-52ncm-73-64oz-in-nema-17-motor-driver-1-cl42t-s05-v41,authoritative vendor STEP models/upgrades/17HS19-2004D-E1K.step; official 24 V dynamic curve saved alongside; loose cable excluded from rigid collision envelope
motion,NEMA17 motor/encoder (M2),Leadshine CS-M21708; 0.8 N m holding; 83 mm body; 5 mm D shaft; 1000-line encoder; official 36 V / RMS 2.5 A torque curve,1,199.00,199.00,Leadshine official current Add-to-Cart price verified 2026-07-11 https://www.leadshine.com/product-detail/closed-loop-stepper-drive/closed-loop-stepper/CS-M21708.html,authoritative vendor STEP cad/models/upgrades/CS-M21708.STEP plus provenance-bound installed cableless derivative CS-M21708_cableless.step; exact curve and mechanical PDF saved alongside
motion,Conditional closed-loop stepper driver candidate (M2),Leadshine CS-D508; official manual lists CS-M21708 as tested compatible; 20-50 VDC; 0.5-8.0 A peak; exact 3.5 versus 3.6 A peak setting for the 36 V / RMS 2.5 A curve and hot 300 RPM proof remain blocked,1,199.00,199.00,CONDITIONAL ONLY - Leadshine official current Add-to-Cart price verified 2026-07-11 https://www.leadshine.com/product-detail/CS-D508.html; do not order for production until the exact curve configuration and hot proof close,cad/models/upgrades/Leadshine_CS-D508_manual_v1.0.pdf SHA256 0faaf40eebe24203511b50b3e3658bec9fc298b13221031759b84d3eb9bdba60; CS1-D503S and CL42T-V41 are not valid substitutes for the bound M2 curve
motion,Linear rail MGN12H + block,ABRA MP-LR12H-150; 150 mm x 12 mm MGN12 rail + 1 MGN12H long block each; pre-lubricated,2,29.98,59.96,ABRA Electronics exact live in-stock assembly https://abra-electronics.com/3d-printers-en/linear-movement/linear-rails/mgn/mp-lr12h-150.html,REAL HIWIN vendor STEPs models/upgrades/mgn12*.step define the conservative reference envelope; receipt inspection must confirm H13 block 45.4x27 M3 pattern 20x20 rail 12x8 pitch25
motion,Lead screw T8x8 4-start,Custom Ø8 x 188 mm screw with native 30 mm smooth Ø8 journal; Zyltech HW-SC-SMALLFL-P Delrin anti-backlash set configured T8x8,1,20.95,20.95,Dimensioned custom screw RFQ plus exact Zyltech nut set https://www.zyltech.com/delrin-anti-backlash-nut-small-flange-size-and-hole-pattern-t8x8-or-t8x2/; choose T8x8 2 mm pitch 4-start 8 mm lead,custom screw STEP/PDF plus supplier-drawing main nut secondary nut and spring swept envelopes; receiving contract limits configured nut length to 22.4 mm
motion,Beam coupling 5x8,Ruland PCMR22-8-5-A zero-backlash clamp coupling; 8x5 bores; Ø22.2 x 27; 0.45 Nm reversing dynamic capacity,2,59.80,119.60,Ruland exact live order line https://www.ruland.com/pcmr22-8-5-a.html; 0-2 day production lead shown 2026-07-10,step.parts Ø24x32 reference STEP retained as conservative collision envelope; exact 12.5 mm shaft engagements checked
motion,Bearing 608ZZ,8x22x7 stainless double-shielded; 2 installed + 1 spare,3,1.00,3.00,AMPEC S608-ZZ from Bearings Direct exact order line,step.parts bearing_608zz (sha256-verified); purchased material is stainless
motion,Bearing 6001ZZ,12x28x8 double-shielded,2,1.50,3.00,AMPEC 6001-ZZ from Bearings Direct exact order line,step.parts bearing_6001_zz_shielded_simple (sha256-verified)
motion,Bearing 623ZZ,3x10x4 miniature double-shielded bearing for dancer pulley,1,1.50,1.50,AMPEC 623-ZZ from Bearings Direct exact order line,parametric exact envelope in cots.py
motion,Bearing 688-2RS,8x16x5 rubber-sealed bearing for M0 fixed screw end,1,2.00,2.00,AMPEC 688-2RS from Bearings Direct exact order line; do not substitute a 4 mm-wide B688ZZ,parametric exact 8x16x5 envelope in cots.py
