part,file,bytes,sha256
flyer_block,out/stl/flyer_block.stl,169684,14e42bed07208be4793554b336a878fbf0b9225c19adf2c7a36e7441190e9099
flyer_arm,out/stl/flyer_arm.stl,1026484,4b6e6b6c57e0be57aa5d3ddfe190eb79b70cc4fd7ae041fbf506bb75fb9014cf
m2_motor_mount,out/stl/m2_motor_mount.stl,126784,8ed104e9e179973c5d75c1c311eb63ebec459f8f34e419e48a63d87308e58df2
carriage_endstop_flag,out/stl/carriage_endstop_flag.stl,35484,a1a6ff2d03f87ca40e94a89fef04d1f5611a4faa60ce807e4f576c38c45651dd
spindle_tower,out/stl/spindle_tower.stl,450884,b9e45d4bf4b7acf379c624df256b3489415283a063077564a43860ac3d1aa2c7
nut_bracket,out/stl/nut_bracket.stl,113584,b9c7a641571f3b16e24149aaf43078c5dc131ca195b24abdde7c5b7f1145129a
m0_motor_mount,out/stl/m0_motor_mount.stl,121484,20f3643fea79557441f1008f22b26a64376b51d22398409e9b1292b1c9c7a82b
m0_fixed_end_mount,out/stl/m0_fixed_end_mount.stl,169284,a0d5efafb64bc0f1baec7ef24fe35c59e1f4fa766c632aaa22c5391c85137cd7
endstop_mount,out/stl/endstop_mount.stl,159084,fda44c9b44672ec143e4bb00f8781c47cb5aaaec0c211c3d1e6b9e8c075a28b6
spool_bracket,out/stl/spool_bracket.stl,103884,339537ff66819c9dbade7a53cf05cc2b36943fe8d683609b383232e279dd1433
spool_drum,out/stl/spool_drum.stl,67284,5d76a4095a06cc3a7a0c1479984b840548e4395d2565a88f2a974a528b2e5cbc
felt_tensioner,out/stl/felt_tensioner.stl,132084,22be766d72629f8a02346e317829bc0c374bb4ca1cb45b3928a497e2e6f5eb85
dancer_base,out/stl/dancer_base.stl,157684,c56a860cd3e09d45d17b1326133206616a0a4ad3a04032a2ab73671241cf7991
dancer_arm,out/stl/dancer_arm.stl,95484,b45c6608693b510acad7f0b5d0a55855590fdeaa0cd2e3ce2da6f98dbe9eb0f6
dancer_pulley,out/stl/dancer_pulley.stl,100884,5e5f4227fa6a942a5bd9add29031b7edacc82fa50ecdc3873564a6df1637fe8f
entry_bracket,out/stl/entry_bracket.stl,267684,57baedcc1fe3a913dcb93dfea929fa0a3dd6a5c2c7e4cde9f4a77f4ff30b2b3e
rear_post_left_shoe,out/stl/rear_post_left_shoe.stl,52084,92c49294eba62d879a504d8902615d8db9902bf801c0da669ec17e16bcd4f8e7
balance_retainer_rear_left,out/stl/balance_retainer_rear_left.stl,69484,b0b8a823ca74e5b461bee72481b5e7757c9f92bdc029192b373d77a39654c520
balance_retainer_rear_right,out/stl/balance_retainer_rear_right.stl,69484,43df82341f9786b4010d73085bc0c281d563f10ecc38def818c696329bad4f36
balance_retainer_front_left,out/stl/balance_retainer_front_left.stl,69484,b5c40bbf74158073efc741ff93040ff6fd8c4eeab009d4a482aaa01341f6d920
balance_retainer_front_right,out/stl/balance_retainer_front_right.stl,69484,c867d6b0ab267e03aa636e2473b7219a08b48ccd59f6570242dc88409e2240bc
